gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
81,1,2015,2015-08-08 15:45:00,89,82,1,0,2.843,3.999,3.158,1,0
82,1,2015,2015-08-08 18:00:00,73,71,0,1,3.574,0.35,2.926,0,0
83,1,2015,2015-08-08 18:00:00,72,90,2,2,2.988,4.337,2.675,0,1
84,1,2015,2015-08-08 18:00:00,75,77,4,2,6.422,2.057,1.521,3,0
85,1,2015,2015-08-08 18:00:00,79,78,1,3,1.461,2.159,638,0,1
86,1,2015,2015-08-08 20:30:00,80,84,2,2,304,924,8.772,2,1
87,1,2015,2015-08-09 16:30:00,86,74,2,2,4.386,3.165,2.449,1,1
88,1,2015,2015-08-09 16:30:00,83,81,0,2,5.751,2.826,1.423,0,1
89,1,2015,2015-08-09 19:00:00,85,87,0,1,2.482,5.454,2.064,0,0
90,1,2015,2015-08-10 23:00:00,76,88,0,3,615,1.698,7.687,0,2
91,1,2015,2015-08-14 22:45:00,71,89,0,1,1.056,4.653,4.291,0,1
92,1,2015,2015-08-15 15:45:00,74,72,0,3,2.536,2.845,4.619,0,2
93,1,2015,2015-08-15 18:00:00,77,79,1,3,51,1.845,7.645,0,2
94,1,2015,2015-08-15 18:00:00,84,86,2,0,9.165,772,63,1,0
95,1,2015,2015-08-15 18:00:00,82,85,2,2,1.614,1.925,6.461,2,0
96,1,2015,2015-08-15 18:00:00,90,76,0,0,3.286,3.819,2.895,0,0
97,1,2015,2015-08-15 18:00:00,81,75,1,2,482,171,7.808,0,2
98,1,2015,2015-08-16 16:30:00,78,83,1,2,1.303,2.113,6.584,1,1
99,1,2015,2015-08-16 19:00:00,88,80,3,0,8.142,1.391,467,1,0
100,1,2015,2015-08-17 23:00:00,87,73,1,0,8.133,1.411,456,1,0
101,1,2015,2015-08-22 15:45:00,89,86,0,0,5.889,292,1.191,0,0
102,1,2015,2015-08-22 18:00:00,79,85,1,1,9.013,74,247,1,1
103,1,2015,2015-08-22 18:00:00,77,84,1,1,1.219,2.431,635,0,1
104,1,2015,2015-08-22 18:00:00,78,71,2,1,4.747,3.079,2.174,0,0
105,1,2015,2015-08-22 18:00:00,75,82,1,1,1.213,2.191,6.596,0,0
106,1,2015,2015-08-22 18:00:00,81,73,3,4,1.041,1.757,7.202,0,2
